Identificador de ola de encuesta,Factor Expansion Corte transvesal: Ajuste por poblacion y sexo,Grado de confianza: El Gobierno,Grado de confianza: Los Partidos Politicos,Grado de confianza: Carabineros,Grado de confianza: Los Sindicatos,Grado de confianza: El Poder Judicial,Grado de confianza: Las Empresas Privadas,Grado de confianza: El Congreso Nacional,Grado de confianza: El Presidente/a de la Republica,Satisfaccion con la democracia en Chile,Frecuencia: Firma carta o peticion apoyando causa,Frecuencia: Asiste a marcha o manifestacion pacifica,Frecuencia: Participo en huelga,Frecuencia: Usa redes sociales para opinar en temas publicos,Interes en la politica,Frecuencia: Habla de politica con familiares o amigos,Frecuencia: Se informa sobre politica en medios de comunicacion,Grado de acuerdo: Las personas son recompensadas por sus esfuerzos,Grado de acuerdo: Las personas son recompensada por su inteligencia,Grado de importancia: Provenir de una familia adinerada,Grado de importancia: Tener un buen nivel de educacion,Grado de importancia: Tener ambicion,Grado de importancia: El trabajo duro,Grado de acuerdo: Me identifico con Chile,Grado de acuerdo: Me siento orgulloso de ser chileno,Cuanto confia usted en sus vecinos,Grado de acuerdo: Este es el barrio ideal para mi,Grado de acuerdo: Me siento integrado/a en este barrio,Grado de acuerdo: Me identifico con la gente de este barrio,Grado de acuerdo: Este barrio es parte de mi,Grado de acuerdo: En este barrio es facil hacer amigos,Grado de acuerdo: La gente en este barrio es sociable,Grado de acuerdo: La gente en este barrio es cordial,Grado de acuerdo: La gente en este barrio es colaboradora,Grado de satisfaccion: Seguridad del barrio,Grado de satisfaccion: Conectividad,Grado de satisfaccion:  Areas verdes y de recreacion disponibles,Grado de satisfaccion: Limpieza y belleza del barrio,Grado de satisfaccion: Proximidad al lugar de actividad principal,Grado de satisfaccion:  Proximidad a colegios de buena calidad,Grado de satisfaccion:  Proximidad a areas de comercio,Grado de satisfaccion:  Proximidad con familiares y/o amigos cercanos,Grado de satisfaccion: Tamannio de la vivienda,Grado de satisfaccion: Calidad de la vivienda,Confianza Social Generalizada,Altruismo Social Generalizado,Mayoria de la gente trata de ser justa,Frecuencia:  Visito la casa de vecino,Frecuencia: Asistio a reunion sobre temas de interes publico/comunitario,Frecuencia: Amigos visitaron en su casa,Frecuencia: Hizo voluntariado,Frecuencia: Dono dinero a caridad,"Frecuencia: Presto 10,000 o mas",Frecuencia: Converso con persona en problemas o deprimida,Frecuencia: Ayudo a alguien a conseguir trabajo,sub_confianzainstitutciones,sub_actitudhacialademocracia,sub_participacioncivica,sub_interespolitico,sub_justiciadistributiva,sub_surgirenlavida,sub_identidadnacional,sub_orgullonacional,sub_confianzavecinos,sub_cohesionbarrial,sub_sociabilidadbarrial,sub_satisfaccionresidencial,sub_confianzainterpersonal,sub_comportamientoprosocial,dim_sentidopertenencia,dim_calidaddevidaenelvecindario,dim_redessociales,dim_confianzainstitucionesdemocracia,dim_participacionpolitica,dim_percepcionjusticia
2016,0.4060378676155108,2.132686746945871,0.9964829773469565,5.193334047236298,3.1903139394889157,2.3427636596213866,2.848828330403883,1.7348478855378766,2.678458476331052,2.5157314924324132,1.7093534936468207,0.8724088349336321,0.5759968136655843,2.049692264950353,2.094952987082383,3.415974361178967,5.364925940526343,3.930829233574403,4.442730193602126,4.239303241981772,8.24700993057489,7.013231042476472,7.625262378570453,7.929877494613992,7.993512439395575,5.381359221918273,6.556786983982545,6.42407670789405,6.2167272482769445,6.585596407687779,5.536953354095682,6.1446920767389654,6.429711058988342,6.025284207147824,5.282585026663717,6.649437922954199,5.3795653640032866,5.425064196688631,6.189308185277205,6.580643181468509,7.015415373631177,6.266880196374115,6.689295409875902,6.755270298663687,1.437779504221009,1.9705465287275585,3.1597593569100235,5.137424641044929,2.9362827696254943,7.018329403197401,2.0182649016502348,5.910618384083125,6.051622092555712,7.22516035693956,5.173277952252178,2.63971450786403,2.5157314924324132,1.3018628517990976,3.6252844295958977,4.1867797135882645,6.781201648400897,7.929877494613992,7.993512439395575,5.381359221918273,6.44579683696033,6.034160174242704,6.223346515560043,2.1893617966195302,5.183872562668579,7.961694967004783,6.021165687170337,3.6866171796440548,2.5777230001482216,2.4635736406974975,5.48399068099458
2017,0.4797187671228028,2.39075632872896,1.187278291463005,4.9237633624919654,2.98948276796963,2.3812898389402206,2.7634613904629433,1.7738918792122662,2.8600549612950568,2.783541203270556,1.6009931138768982,0.6202515040781562,0.33513891091890813,1.8604823115464424,2.7767407449624426,3.3570989423512563,5.150269031375434,4.09551154550227,4.666912483686733,4.00220754580911,8.660798361434544,7.078108532163345,7.786971490354977,8.290429272162651,8.33299116338241,5.333050615421786,6.650881750544127,6.636117867816731,6.330273230104923,6.46935783821711,5.74284252929344,6.382734989815154,6.5618649082922476,6.196842379773524,5.57413289992212,6.863132094972057,5.8027918970306125,5.688416284257978,6.191675875369808,6.734818841724836,7.124667940173871,6.577198648497473,6.959192245303881,7.084346975642738,1.462444124337588,2.2143897702276987,3.8665249643494186,5.319448745339113,3.062379876328109,7.038715618303754,2.327706479317276,5.591830557867649,5.999787853237577,6.975377479915808,4.757802505856924,2.658747352570506,2.783541203270556,1.1042164601051012,3.7613695728963776,4.381212014594501,6.882021482440495,8.290429272162651,8.33299116338241,5.333050615421786,6.521657671670723,6.221071201793592,6.4600373702895375,2.5144529529715687,5.134131139520776,8.31171021777253,6.13395421479391,3.8242920462461725,2.721144277920531,2.4327930165007396,5.631616748517498
2018,0.6091408559399534,3.029443962081833,1.3003811278597488,4.917772094307915,3.1495533655118457,2.799517764156454,2.9316472329818035,1.9859816537194233,3.2393521281754794,3.1926196295261895,1.2444735396599422,0.6499644319606892,0.4079010537260005,1.828930708978049,2.3008665575065748,3.246417604792101,5.185153108601615,4.463938659349113,4.886181040972807,3.790367758968068,8.679453347842944,7.459345918550057,7.882689221639073,8.107830306159372,8.153478699423545,5.481633971389279,6.607333742297586,6.521586747177773,6.233801541641112,6.496665582121833,5.743577717109857,6.2634298091645295,6.6036730100313745,6.210917687226269,5.5546990906206934,6.813869806264598,5.501238050917152,5.435693513522089,6.196996417338792,6.739356475628324,7.102365409903014,6.437846633764581,6.888865319527627,7.0438073205054925,1.478997643392068,2.0509819846672483,3.6215415844551755,5.029090166604609,3.084692533782992,6.8970397213951635,2.0226597280345295,5.422049705415117,5.828057421793237,6.947080628595897,4.7371212293650755,2.919206166099313,3.1926196295261895,1.0328174335811702,3.577479090300097,4.6750598501609595,6.952964061750036,8.107830306159372,8.153478699423545,5.481633971389279,6.464846903309576,6.205399555883007,6.371473803799236,2.3838404041714973,4.995973891873327,8.130654502791458,6.130838558595275,3.6899071480224124,3.0559128978127514,2.3051482619406336,5.814011955955498
2019,0.4769426771748327,1.3948774679209885,0.6630424651684373,3.297516779033478,2.614280703322059,1.9955425193174299,2.223991638571111,1.0795745070557707,1.3310736092751383,1.7072661136882423,1.1643308019392216,1.5055823810704805,0.5315222677134291,2.7164533825058523,3.001450677193374,4.109684974694399,5.8597817132155114,3.8768023429680496,4.332764595108512,3.5536664754468337,8.67813536729453,7.177391143553234,7.525896039549387,7.929206193765241,7.970755351621063,5.461381263434931,6.681228217498675,6.849591267158526,6.410492980339789,6.729852085254026,5.902333575356078,6.485070010105429,6.6545421181969076,6.414389884633841,6.008148783806024,6.7578735217899455,5.373457107527813,5.388113589751195,6.208995122128257,6.442027603313335,6.545632196864646,6.404098111993989,6.609566163623965,6.837032761013395,1.2145999374881573,2.3302933759422535,3.770933375463327,5.263561965650789,3.0346161489328067,6.682397762660276,2.0145413528800056,5.420174635656481,5.946774814661171,7.147013128828724,4.577917754114861,1.8249874612080517,1.7072661136882423,1.4794722083072458,4.3236391217010945,4.1047834690382805,6.7337722564609965,7.929206193765241,7.970755351621063,5.461381263434931,6.667791137562754,6.364083897073064,6.257494496181256,2.4386088962979127,5.010874695423139,7.949980772693152,6.187687698563002,3.724741795860526,1.766126787448147,2.90155566500417,5.419277862749638
2021,0.6486254015835501,2.242409335004434,0.9572728330855351,3.9140794624642696,2.614280703322059,2.500412529490848,2.223991638571111,2.0040589392370487,2.0274523693403808,2.732094980378334,1.1643308019392216,0.562787756845776,0.5315222677134291,2.5059160680283608,3.006225648537272,4.002441905413007,5.687134934721088,3.997098093160037,4.315352886431598,3.008952707775543,8.789201982346526,7.022822718194365,7.519743347924641,7.651360120106412,7.889069779291556,5.385181784741119,6.681228217498675,6.849591267158526,6.410492980339789,6.729852085254026,5.902333575356078,6.485070010105429,6.6545421181969076,6.414389884633841,6.008148783806024,6.7578735217899455,5.373457107527813,5.388113589751195,6.208995122128257,6.442027603313335,6.545632196864646,6.404098111993989,6.609566163623965,6.837032761013395,0.8756814050991844,2.1876058701635936,3.4625281715973046,4.649900872720289,1.9182124318305895,4.437343225227539,1.674579396124687,5.363067375585002,6.315386298590199,7.243795609794662,4.668901324576553,2.310494726314461,2.732094980378334,1.1911392236316969,4.231934162890456,4.156225489795817,6.585180189060269,7.651360120106412,7.889069779291556,5.385181784741119,6.667791137562754,6.364083897073064,6.257494496181256,2.1752718156200275,4.53389831680619,7.770214949698984,6.1686378288895485,3.354585066213109,2.5212948533463972,2.7115366932610763,5.370702839428043
2022,1.1568355325254707,2.9419621567577128,1.3361017595653968,5.137471602665312,3.306455413739176,2.8921889746700815,3.2832671924668806,2.14583180671515,2.9501149544876353,3.2372357303297843,0.8649437318151905,0.640763221140127,0.2528899178221041,1.8901296524552906,2.7402934497326794,3.8258158894810825,5.213958720513378,3.927838384668783,4.330249463022889,3.008952707775543,8.789201982346526,7.022822718194365,7.519743347924641,7.923087237908229,7.942725428699348,5.593778458149808,6.418530333861357,6.561019885189568,6.266294130587988,6.55146509365029,5.6594455832009585,6.285272434227726,6.498836703380319,6.305629244719475,5.2453234485755775,6.649824795189213,5.466912062277495,5.352198949225264,6.2695485411046405,6.678933113024717,6.983568086114666,6.470404037857168,6.815491312498207,6.895486695482901,1.0274394441234749,1.9362259481037836,3.5740964585022508,4.649900872720289,1.9182124318305895,4.437343225227539,1.674579396124687,5.363067375585002,6.315386298590199,7.243795609794662,4.668901324576553,2.9991742326334183,3.2372357303297843,0.912181630808178,3.92668935324238,4.129043923845836,6.585180189060269,7.923087237908229,7.942725428699348,5.593778458149808,6.4493273608223,6.187295991382119,6.282769104134985,2.1792539502431696,4.53389831680619,7.932906333303789,6.128292728622303,3.3565761335246798,3.1182049814816013,2.419435492025279,5.357112056453053
